feature,importance
trunk_sway_std,0.9286206
trunk_cv,0.070395485
l_hip_rom,0.0009839284
Sex,0.0
Age,0.0
Height,0.0
r_knee_rom,0.0
knee_rom_mean,0.0
BMI,0.0
Weight,0.0
symmetry_index,0.0
symmetry_ratio,0.0
r_knee_mean,0.0
l_knee_mean,0.0
l_knee_std,0.0
r_knee_std,0.0
knee_rom_diff,0.0
l_knee_rom,0.0
knee_cv_r,0.0
knee_cv_l,0.0
pelvic_tilt_mean,0.0
r_hip_rom,0.0
pelvic_tilt_std,0.0
pelvic_tilt_range,0.0
pelvic_cv,0.0
hip_rom_diff,0.0
trunk_sway_mean,0.0
trunk_sway_range,0.0
sp_divergence_mean,0.0
sp_divergence_std,0.0
sp_divergence_max,0.0
step_width_mean,0.0
step_width_std,0.0
step_width_cv,0.0
